stupen,trida_01,trida_02,trida_03,trida_04,trida_05,trida_06,trida_07,trida_08,trida_09,trida_10,trida_11,trida_12,trida_13,trida_14,trida_15,trida_16,praxe_do_nad,praxe_let
1,NA,NA,NA,NA,NA,20440,21890,23470,25190,27030,29090,31670,35080,39510,44930,51580,do,1
2,NA,NA,NA,NA,NA,21120,22590,24260,25990,27930,30050,32730,36240,40840,46460,53360,do,2
3,NA,NA,NA,NA,NA,21780,23330,25050,26870,28870,31100,33870,37520,42330,48150,55330,do,4
4,NA,NA,NA,NA,NA,22490,24090,25870,27760,29850,32130,35000,38810,43780,49840,57270,do,6
5,NA,NA,NA,NA,NA,23210,24880,26730,28680,30840,33210,36210,40140,45280,51580,59290,do,9
6,NA,NA,NA,NA,NA,23940,25700,27640,29630,31850,34340,37450,41530,46870,53390,61420,do,12
7,NA,NA,NA,NA,NA,24740,26520,28540,30660,32940,35520,38740,42990,48530,55310,63620,do,15
8,NA,NA,NA,NA,NA,25540,27390,29490,31680,34060,36720,40060,44480,50240,57260,65880,do,19
9,NA,NA,NA,NA,NA,26380,28310,30470,32740,35220,37960,41420,45990,51950,59270,68220,do,23
10,NA,NA,NA,NA,NA,27250,29220,31510,33860,36410,39270,42860,47610,53810,61390,70650,do,27
11,NA,NA,NA,NA,NA,28170,30240,32610,35020,37690,40640,44360,49280,55700,63570,73190,do,32
12,NA,NA,NA,NA,NA,29100,31240,33710,36210,38990,42050,45940,51040,57700,65860,75870,nad,32
